Time,month,year,Agrabad,Baira,Darus Salam,East Chandana,Farmgate,Khanpur,Khulshi,Red Crescent Office,Sopura,Uttar Bagura Road
03-05-2014,5,2014,,,1.2234,0.957206897,1.058641026,0.738026316,0.816875,0.633987805,0.9004,0.647666667
04-05-2014,5,2014,0.351,0.23408046,0.394465517,0.433590909,0.471005556,0.225766667,0.350697674,0.214875,0.498929412,0.213372093
05-05-2014,5,2014,,,,,0.911318182,0.786178571,,0.787,0.9532,
06-05-2014,5,2014,0.787857143,,1.066142857,,1.021346667,0.923083333,0.759583333,0.822375,,0.772909091
07-05-2014,5,2014,0.324662791,0.326,,,0.034311111,0.168588889,0.187255814,0.113022727,,0.08244186
08-05-2014,5,2014,0.868,0.843270115,,,,,0.859727273,0.275,,
09-05-2014,5,2014,0.569523256,0.525695402,0.187517241,0.505897727,0.425066667,0.418033333,0.628965116,0.479045455,0.3828,0.49655814
10-05-2014,5,2014,0.562666667,,,,,,0.506172414,,,0.646
11-05-2014,5,2014,,,,0.011102273,,,,,0.491835294,
12-05-2014,5,2014,0.912111111,,,,,,0.794944444,0.693777778,,0.735166667
13-05-2014,5,2014,1.01775,0.668057471,0.872066667,,0.902969697,0.761333333,0.90675,0.696066667,,0.66825
14-05-2014,5,2014,1.557941176,1.402804598,2.402969697,,2.147756757,2.380692308,1.548615385,1.87575,,1.863666667
15-05-2014,5,2014,1.174736842,0.899701149,,,,,1.1945,1.0195,,1.05
16-05-2014,5,2014,0.552569767,0.341022989,0.53945977,,0.680355556,0.4077,0.602616279,0.551568182,,0.543255814
17-05-2014,5,2014,0.249674419,0.17954023,,,,0.051433333,0.276651163,0.237045455,,0.210883721
18-05-2014,5,2014,0.33355814,0.623224138,0.426689655,,0.142388889,0.000222222,0.413488372,0.102181818,,0.042255814
19-05-2014,5,2014,0.945916667,0.870426667,0.9211,,0.912652174,0.931141667,0.87140625,0.8531625,,0.853941176
20-05-2014,5,2014,0.801772727,0.557895522,0.919555556,,0.794914286,0.828122449,0.702727273,0.658971429,,0.6051875
21-05-2014,5,2014,0.613686047,0.648701149,0.676097701,0.535295455,0.696338889,0.612022222,0.594767442,0.526102273,,0.436767442
